Sun Azimuth (deg)	Sun Zenith (deg)	Phytoplankton	Scattering X	Scattering Y	CDOM G	CDOM S	Depth (m)	#wave length (nm) →	410	430	450	470	490	510	530	550	570	590	610	630	650	670	690	710	730
130	40	0.094	0.01	1	0.02	0.014	15	-	0.0017817	0.0014557	0.0016093	0.0020413	0.0027031	0.0026336	0.003009	0.0030481	0.0026894	0.00048837	0.00012105	0.0001019	0.000082988	0.000060512	0.000052545	0.000032743	0.000015014
130	40	0.013	0.01	1	0.02	0.014	15	-	0.012498	0.014683	0.015816	0.017887	0.018167	0.012169	0.009803	0.007308	0.005236	0.00082239	0.00013425	0.00011249	0.000090222	0.000067036	0.000055153	0.000033089	0.000015028
130	40	0.06	0.01	1	0.05	0.014	15	-	0.001865	0.0020473	0.0025534	0.003444	0.0044769	0.0040283	0.0042056	0.0039069	0.0032574	0.00057341	0.0001251	0.0001055	0.000085621	0.000062995	0.000053557	0.000032873	0.000015018
130	40	0.094	0.01	1	0.05	0.014	15	-	0.00097566	0.00092448	0.0011128	0.0015094	0.0021213	0.002189	0.0026075	0.0027328	0.0024775	0.00046758	0.00012017	0.00010147	0.000082779	0.000060428	0.000052495	0.000032728	0.000015012
130	40	0.013	0.01	1	0.09	0.014	15	-	0.0020554	0.0035065	0.0052145	0.0075945	0.0094536	0.0075102	0.006828	0.00558	0.0042839	0.00072942	0.00013151	0.00011115	0.000089628	0.000066795	0.000055026	0.000033054	0.000015022
130	40	0.013	0.01	1	0.05	0.014	15	-	0.0054977	0.0077633	0.0097078	0.0123	0.013673	0.0098769	0.0083874	0.0065066	0.004803	0.00078081	0.00013305	0.00011191	0.000089966	0.000066933	0.000055099	0.000033074	0.000015025
130	40	0.094	0.01	1	0.141	0.014	15	-	0.00032725	0.00036065	0.00046314	0.00068126	0.0010741	0.0012855	0.0017124	0.0019768	0.0019396	0.00041191	0.00011763	0.00010017	0.000082153	0.000060175	0.000052345	0.000032683	0.000015004
130	40	0.013	0.01	1	0.02	0.014	20	-	0.0068163	0.0098028	0.013307	0.017391	0.021143	0.021788	0.023314	0.023485	0.022753	0.011591	0.0030263	0.0022644	0.0013635	0.00045069	0.00024704	0.000039992	0.000015015
130	40	0.033	0.01	1	0.141	0.014	20	-	0.019946	0.021063	0.023345	0.026283	0.029033	0.028824	0.030096	0.030097	0.029172	0.016453	0.0054802	0.0042163	0.0027406	0.0010034	0.00063347	0.000076419	0.000015031
130	40	0.06	0.01	1	0.02	0.014	20	-	0.0021118	0.0018776	0.0020284	0.0025023	0.0030588	0.002435	0.0023698	0.0020403	0.0015663	0.00029619	0.0001202	0.00010378	0.000085425	0.000063076	0.000053607	0.000032888	0.00001502
